ESPNPower,RPI,PenaltyKill_PostAllStar
62,0.03799999999999992,NA
51,0.017000000000000015,NA
-15,0.0010000000000000009,NA
14,0.02300000000000002,NA
49,0.03500000000000003,NA
-18,0.02400000000000002,NA
-36,0.0050000000000000044,NA
-7,0.0030000000000000027,NA
33,0.0040000000000000036,NA
52,0.017000000000000015,NA
10,0.007000000000000006,NA
-29,0.007000000000000006,NA
13,-0.007000000000000006,NA
-2,0.009000000000000008,NA
38,0.018000000000000016,NA
61,0.03299999999999992,NA
-37,0.02299999999999991,NA
4,0.0030000000000000027,NA
11,0.007000000000000006,NA
-4,0.020000000000000018,NA
23,0.0050000000000000044,NA
-4,-0.0030000000000000027,NA
14,0.0040000000000000036,NA
66,0.03199999999999992,NA
-72,-0.0020000000000000018,NA
-4,0.008000000000000007,NA
36,0.0050000000000000044,NA
20,0.009000000000000008,NA
-4,0.006000000000000005,NA
-30,0.0030000000000000027,NA
50,0.016999999999999904,1.3999999999999915
-14,0.010999999999999899,1.1000000000000085
-6,-0.01100000000000001,-2.299999999999997
-7,0,-2.299999999999997
27,0.03199999999999992,-0.5
-7,0.020000000000000018,1.2999999999999972
-8,0.0040000000000000036,2.799999999999997
-37,0.0040000000000000036,1.7000000000000028
14,0.0119999999999999,-1.7999999999999972
34,0.006000000000000005,-2.8999999999999915
26,0.025000000000000022,1.3999999999999915
-20,0.014000000000000012,0.20000000000000284
-1,0.008999999999999897,-2.3999999999999915
15,0.020000000000000018,0
10,0.018000000000000016,1.3999999999999915
25,0.03599999999999992,0.29999999999999716
62,0.016999999999999904,-2.0999999999999943
5,0.013000000000000012,-3.3000000000000114
0,0.0020000000000000018,1.8999999999999915
12,0.03599999999999992,-0.5
69,0.029999999999999916,-3.4000000000000057
13,0.0050000000000000044,-2.200000000000003
10,0.013000000000000012,-1.1000000000000085
35,0.031000000000000028,-1.2000000000000028
8,0.010000000000000009,-1.7999999999999972
50,0.03199999999999992,-1.4000000000000057
-18,-0.01100000000000001,2.4000000000000057
25,0.006000000000000005,1.3999999999999915
31,0.010000000000000009,-0.09999999999999432
31,0.02100000000000002,-4.299999999999997
101,0.04999999999999993,-1.2000000000000028
-14,0.02199999999999991,0.30000000000001137
29,0.014999999999999902,-0.9000000000000057
32,0.010999999999999899,-0.30000000000001137
20,0.03400000000000003,2
46,0.018000000000000016,0.9000000000000057
31,-0.0010000000000000009,0.8000000000000114
-4,0.006000000000000005,-0.29999999999999716
40,0.02199999999999991,0.09999999999999432
-30,0.0010000000000000009,-0.19999999999998863
35,0.017000000000000015,-2.3999999999999915
-1,0.017000000000000015,1.5
19,0.0050000000000000044,1.0999999999999943
-7,0.0040000000000000036,-2
35,0.04499999999999993,-0.19999999999998863
-9,0.02399999999999991,NA
14,0.03299999999999992,NA
30,0.008000000000000007,NA
-9,0.0010000000000000009,NA
4,0.027000000000000024,NA
29,0.0010000000000000009,NA
30,0.009000000000000008,NA
20,0,NA
-23,0.0040000000000000036,NA
13,0.01100000000000001,NA
43,0.031000000000000028,NA
-13,-0.007000000000000006,NA
-1,0.0020000000000000018,NA
14,0.02200000000000002,NA
16,0.02400000000000002,NA
-23,0.030999999999999917,0
47,0.013999999999999901,-0.5
-25,-0.017999999999999905,-4.900000000000006
18,0.007000000000000006,2.700000000000003
55,0.020000000000000018,-0.4000000000000057
-18,0.02100000000000002,7
-32,-0.007000000000000006,2.0999999999999943
-11,0.0040000000000000036,1.6999999999999886
4,0.029999999999999916,-0.5
36,0.0020000000000000018,-3.700000000000003
16,0.02100000000000002,0.8999999999999915
-21,-0.013000000000000012,-0.29999999999999716
-2,0.01100000000000001,-3
22,0.0030000000000000027,-1.1000000000000085
34,0.013000000000000012,0.5999999999999943
26,0.04599999999999993,0.3999999999999915
33,0.016999999999999904,-8.600000000000009
19,-0.0050000000000000044,-1.9000000000000057
-14,0.008000000000000007,-2.8000000000000114
33,0.061999999999999944,5.599999999999994
16,0.02300000000000002,-0.29999999999999716
3,-0.0030000000000000027,0.10000000000000853
-4,0.007000000000000006,3.299999999999997
49,0.041999999999999926,-9.400000000000006
1,0.013999999999999901,4.099999999999994
31,0.052000000000000046,1.3999999999999915
9,0.0050000000000000044,-3.0999999999999943
34,0.028000000000000025,-6.799999999999997
22,0.04500000000000004,2.3999999999999915
24,0.04700000000000004,0
39,0.03499999999999992,NA
25,0.0020000000000000018,NA
18,0.02399999999999991,NA
-18,0.0020000000000000018,NA
43,0.02100000000000002,NA
-19,0.006000000000000005,NA
31,0.03300000000000003,NA
43,0.016000000000000014,NA
46,0.02400000000000002,NA
31,0.020000000000000018,NA
60,0.013000000000000012,NA
60,0.02400000000000002,NA
-3,0.0040000000000000036,NA
61,0.013000000000000012,NA
-12,0.010000000000000009,NA
-17,0.018000000000000016,-0.29999999999999716
27,0.015000000000000013,9.899999999999991
31,0.02300000000000002,5.800000000000011
-10,-0.0020000000000000018,0.5
17,0.013000000000000012,-3.3999999999999915
3,0.0020000000000000018,8.200000000000003
6,0.008000000000000007,3.299999999999997
1,0.0050000000000000044,-4.200000000000003
-41,0.0030000000000000027,-4.199999999999989
10,0.018000000000000016,3.3000000000000114
-2,0.0030000000000000027,-15.200000000000003
-5,0.017000000000000015,-4.599999999999994
-10,0.007000000000000006,0.8000000000000114
7,0.0040000000000000036,6.1000000000000085
33,0.0040000000000000036,10.5
7,0.0040000000000000036,-5.6000000000000085
16,0.006999999999999895,5.599999999999994
38,0.03700000000000003,1.2000000000000028
9,0.0040000000000000036,9.5
51,0.03199999999999992,10.299999999999997
-11,0.007000000000000006,8.599999999999994
-10,0.006000000000000005,-0.7000000000000028
-16,0.006000000000000005,-2.4000000000000057
-5,-0.006000000000000005,7.8999999999999915
7,0.02400000000000002,0.10000000000000853
43,0.0030000000000000027,0.5999999999999943
13,-0.0010000000000000009,-2.3999999999999915
18,0.014000000000000012,-2.5
-17,0.018000000000000016,2.5999999999999943
4,0.015000000000000013,3.1999999999999886
-30,-0.0030000000000000027,10
-22,0.0040000000000000036,-9.200000000000003
12,0.038000000000000034,4
33,0.0030000000000000027,1
4,0.019999999999999907,3.5999999999999943
31,0.009000000000000008,-6.800000000000011
-3,0.017999999999999905,3.700000000000003
26,0.0050000000000000044,-0.5
-44,-0.010000000000000009,-1.0999999999999943
-19,0.01100000000000001,0.09999999999999432
-5,0.006999999999999895,10.400000000000006
-24,0.0040000000000000036,9
70,0.02200000000000002,7.400000000000006
-17,0.016999999999999904,8.299999999999997
42,0.030999999999999917,3.9000000000000057
48,0.02200000000000002,-7.099999999999994
-7,0.010000000000000009,6.1000000000000085
17,0.01200000000000001,6.300000000000011
21,0.0040000000000000036,-2.299999999999997
10,0.03400000000000003,-1.5
24,0.019000000000000017,1.9000000000000057
33,0.016000000000000014,-2.8999999999999915
-17,0.0020000000000000018,-3.1000000000000085
26,0.0010000000000000009,-12.299999999999997
-13,0.007000000000000006,6
-10,0.006000000000000005,-0.20000000000000284
20,0.013000000000000012,-7.299999999999997
37,0.010000000000000009,-9
5,0.01100000000000001,0.5999999999999943
13,0.007000000000000006,0
67,0.04400000000000004,-2.8999999999999915
-27,0.010000000000000009,3.799999999999997
-45,0.0050000000000000044,5.699999999999989
33,0.007000000000000006,-2.5999999999999943
29,0.02399999999999991,-1.2999999999999972
40,0.0119999999999999,4.700000000000003
30,0.009999999999999898,2.5999999999999943
25,0,-7.099999999999994
1,0.01200000000000001,-8.399999999999991
-17,0.006000000000000005,-2.9000000000000057
37,0.007999999999999896,3.0999999999999943
29,0.014999999999999902,-2.299999999999997
14,0.01100000000000001,-3.299999999999997
42,0.0020000000000000018,-5.299999999999997
12,0.013000000000000012,-3.5999999999999943
