Year,Up.To.Round,Team,CF.Playoff.PK,CA.Playoff.PK,FenFor.Playoff.PK,FenAga.Playoff.PK,SCF.Playoff.PK,SCA.Playoff.PK,HDSV.Playoff.PK,HDCF.Playoff.PK,HDCA.Playoff.PK,SavePercentage.Playoff.PK,PDO.Playoff.PK,xGF.Playoff.PK,xGA.Playoff.PK
2008,quarter-finals,Boston Bruins,27.57,101.44,22.05,63.95,7.72,46.31,91.67,2.21,20.95,93.18,0.998,NA,NA
2008,quarter-finals,Montreal Canadiens,11.42,106.22,11.42,71.95,9.14,44.54,85.71,5.71,13.71,92.5,0.925,NA,NA
2008,quarter-finals,Ottawa Senators,19.4,126.09,16.17,103.46,11.32,72.74,75,6.47,37.18,88.24,0.882,NA,NA
2008,quarter-finals,Pittsburgh Penguins,12.21,119.08,9.16,82.44,0,36.64,66.67,0,18.32,94.12,0.941,NA,NA
2008,quarter-finals,Philadelphia Flyers,11.01,114.5,8.81,78.17,5.5,53.94,76.92,1.1,22.02,84,0.84,NA,NA
2008,quarter-finals,Washington Capitals,18.3,118.95,16.27,92.52,10.17,65.07,81.25,4.07,22.37,88.06,0.881,NA,NA
2008,quarter-finals,New York Rangers,13.03,73.3,13.03,50.5,8.14,35.84,77.78,4.89,22.81,76.19,0.929,NA,NA
2008,quarter-finals,New Jersey Devils,17.97,62.88,15.72,56.14,13.47,35.93,62.5,8.98,20.21,76.47,0.765,NA,NA
2008,quarter-finals,Nashville Predators,19.82,106.17,18.4,83.52,8.49,59.46,93.75,4.25,25.48,93.62,0.936,NA,NA
2008,quarter-finals,Detroit Red Wings,31.29,69.94,25.77,46.01,11.04,33.13,50,1.84,9.2,89.47,0.972,NA,NA
2008,quarter-finals,Calgary Flames,7.22,104.71,6.02,84.25,3.61,50.55,83.33,2.41,28.89,89.83,0.898,NA,NA
2008,quarter-finals,San Jose Sharks,13.47,65.42,9.62,51.95,5.77,30.79,42.86,1.92,17.32,71.43,0.714,NA,NA
2008,quarter-finals,Colorado Avalanche,3.26,136.83,3.26,112.4,1.63,58.64,92.86,1.63,27.69,94.44,1.444,NA,NA
2008,quarter-finals,Minnesota Wild,16.37,83.04,14.04,66.67,7.02,46.78,66.67,3.51,18.71,86.05,1.027,NA,NA
2008,quarter-finals,Dallas Stars,15.3,93.53,11.9,69.72,6.8,47.61,40,1.7,15.3,82.14,0.821,NA,NA
2008,quarter-finals,Anaheim Ducks,12.81,81.14,9.61,69.4,7.47,39.5,64.71,1.07,20.28,81.82,0.818,NA,NA
2008,semi-finals,Boston Bruins,27.57,101.44,22.05,63.95,7.72,46.31,91.67,2.21,20.95,93.18,0.998,NA,NA
2008,semi-finals,Montreal Canadiens,17.36,99.64,15.85,67.18,9.81,40.01,76.92,5.28,15.1,88.14,0.937,NA,NA
2008,semi-finals,Ottawa Senators,19.4,126.09,16.17,103.46,11.32,72.74,75,6.47,37.18,88.24,0.882,NA,NA
2008,semi-finals,Pittsburgh Penguins,8.44,107.9,6.57,72.24,3.75,47.85,88.24,0.94,22.52,92.45,0.925,NA,NA
2008,semi-finals,Philadelphia Flyers,14.24,109.37,11,79.6,5.82,56.3,75,2.59,28.47,84.15,0.932,NA,NA
2008,semi-finals,Washington Capitals,18.3,118.95,16.27,92.52,10.17,65.07,81.25,4.07,22.37,88.06,0.881,NA,NA
2008,semi-finals,New York Rangers,14.51,85.55,12.22,66.45,7.64,46.59,81.82,3.06,24.44,83.87,0.939,NA,NA
2008,semi-finals,New Jersey Devils,17.97,62.88,15.72,56.14,13.47,35.93,62.5,8.98,20.21,76.47,0.765,NA,NA
2008,semi-finals,Nashville Predators,19.82,106.17,18.4,83.52,8.49,59.46,93.75,4.25,25.48,93.62,0.936,NA,NA
2008,semi-finals,Detroit Red Wings,25.2,78.63,21.17,60.49,11.09,41.33,61.54,5.04,16.13,86.67,1.017,NA,NA
2008,semi-finals,Calgary Flames,7.22,104.71,6.02,84.25,3.61,50.55,83.33,2.41,28.89,89.83,0.898,NA,NA
2008,semi-finals,San Jose Sharks,14.66,63.24,10.08,49.49,7.33,29.33,57.14,1.83,15.58,74.42,1.144,NA,NA
2008,semi-finals,Colorado Avalanche,3.44,127.31,2.58,105.81,0.86,60.22,76.92,0.86,27.53,89.69,1.23,NA,NA
2008,semi-finals,Minnesota Wild,16.37,83.04,14.04,66.67,7.02,46.78,66.67,3.51,18.71,86.05,1.027,NA,NA
2008,semi-finals,Dallas Stars,11.88,81.65,8.91,60.12,6.68,44.54,58.33,0.74,14.85,86.79,0.868,NA,NA
2008,semi-finals,Anaheim Ducks,12.81,81.14,9.61,69.4,7.47,39.5,64.71,1.07,20.28,81.82,0.818,NA,NA
2008,finals,Boston Bruins,27.57,101.44,22.05,63.95,7.72,46.31,91.67,2.21,20.95,93.18,0.998,NA,NA
2008,finals,Montreal Canadiens,17.36,99.64,15.85,67.18,9.81,40.01,76.92,5.28,15.1,88.14,0.937,NA,NA
2008,finals,Ottawa Senators,19.4,126.09,16.17,103.46,11.32,72.74,75,6.47,37.18,88.24,0.882,NA,NA
2008,finals,Pittsburgh Penguins,9.17,102.16,7.2,70.07,5.24,49.12,79.17,2.62,21.61,90.54,1.005,NA,NA
2008,finals,Philadelphia Flyers,16.27,108.66,13.65,77.17,6.82,53.54,72.73,3.67,25.72,82.18,0.939,NA,NA
2008,finals,Washington Capitals,18.3,118.95,16.27,92.52,10.17,65.07,81.25,4.07,22.37,88.06,0.881,NA,NA
2008,finals,New York Rangers,14.51,85.55,12.22,66.45,7.64,46.59,81.82,3.06,24.44,83.87,0.939,NA,NA
2008,finals,New Jersey Devils,17.97,62.88,15.72,56.14,13.47,35.93,62.5,8.98,20.21,76.47,0.765,NA,NA
2008,finals,Nashville Predators,19.82,106.17,18.4,83.52,8.49,59.46,93.75,4.25,25.48,93.62,0.936,NA,NA
2008,finals,Detroit Red Wings,20.22,69.71,17.56,51.62,11.18,30.33,72.22,6.39,12.24,87.67,1.043,NA,NA
2008,finals,Calgary Flames,7.22,104.71,6.02,84.25,3.61,50.55,83.33,2.41,28.89,89.83,0.898,NA,NA
2008,finals,San Jose Sharks,14.66,63.24,10.08,49.49,7.33,29.33,57.14,1.83,15.58,74.42,1.144,NA,NA
2008,finals,Colorado Avalanche,3.44,127.31,2.58,105.81,0.86,60.22,76.92,0.86,27.53,89.69,1.23,NA,NA
2008,finals,Minnesota Wild,16.37,83.04,14.04,66.67,7.02,46.78,66.67,3.51,18.71,86.05,1.027,NA,NA
2008,finals,Dallas Stars,10.85,95.04,8.26,70.76,5.16,52.17,64,1.03,19.11,86.17,0.862,NA,NA
2008,finals,Anaheim Ducks,12.81,81.14,9.61,69.4,7.47,39.5,64.71,1.07,20.28,81.82,0.818,NA,NA
2009,quarter-finals,Boston Bruins,10.62,60.18,10.62,42.48,7.08,28.32,100,7.08,7.08,100,1,NA,NA
2009,quarter-finals,Montreal Canadiens,18.9,94.52,16.8,71.41,8.4,39.91,100,2.1,21,81.82,0.818,NA,NA
2009,quarter-finals,New York Rangers,7.63,111.24,6.54,83.97,2.18,64.34,78.95,1.09,26.17,89.09,0.891,NA,NA
2009,quarter-finals,Washington Capitals,9.55,80,5.97,54.93,4.78,37.01,77.78,0,14.33,87.88,1.129,NA,NA
2009,quarter-finals,Carolina Hurricanes,14.08,104.98,6.4,84.5,5.12,53.77,87.5,2.56,26.88,93.75,0.938,NA,NA
2009,quarter-finals,New Jersey Devils,10.93,87.42,9.71,72.85,3.64,31.57,77.78,0,13.36,95.65,0.957,NA,NA
2009,quarter-finals,Philadelphia Flyers,15.63,93.78,15.63,61.22,6.51,49.49,78.57,3.91,23.44,88.89,1.032,NA,NA
2009,quarter-finals,Pittsburgh Penguins,16.98,111.79,11.32,87.74,7.08,58.02,78.95,1.42,29.72,91.49,0.915,NA,NA
2009,quarter-finals,Anaheim Ducks,4.09,125.5,2.73,98.22,0,61.39,83.33,0,34.1,92.59,NA,NA,NA
2009,quarter-finals,San Jose Sharks,22.69,122.9,18.91,92.65,9.45,68.07,73.33,3.78,35.92,86.49,0.865,NA,NA
2009,quarter-finals,Columbus Blue Jackets,11.59,125.54,11.59,94.64,0,40.56,57.14,0,15.45,79.41,0.794,NA,NA
2009,quarter-finals,Detroit Red Wings,8.46,112.85,8.46,81.82,2.82,31.03,57.14,2.82,22.57,86.96,0.87,NA,NA
2009,quarter-finals,St Louis Blues,11.04,103.8,11.04,79.51,4.42,68.47,71.43,0,24.29,82.61,0.826,NA,NA
2009,quarter-finals,Vancouver Canucks,7.6,98.78,4.56,74.46,7.6,53.19,88.89,4.56,18.24,96.77,0.968,NA,NA
2009,quarter-finals,Chicago Blackhawks,6.61,77.06,6.61,68.26,2.2,41.83,85.71,0,24.22,90.48,0.905,NA,NA
2009,quarter-finals,Calgary Flames,10.31,89.82,7.36,70.67,4.42,25.03,66.67,1.47,10.31,79.41,0.794,NA,NA
2009,semi-finals,Boston Bruins,7.68,59.27,5.49,47.2,5.49,27.44,66.67,3.29,12.07,91.18,0.912,NA,NA
2009,semi-finals,Montreal Canadiens,18.9,94.52,16.8,71.41,8.4,39.91,100,2.1,21,81.82,0.818,NA,NA
2009,semi-finals,New York Rangers,7.63,111.24,6.54,83.97,2.18,64.34,78.95,1.09,26.17,89.09,0.891,NA,NA
2009,semi-finals,Washington Capitals,12.21,89.89,9.43,67.14,3.33,43.28,66.67,0.55,16.65,85.56,1.009,NA,NA
2009,semi-finals,Carolina Hurricanes,13.93,95.5,7.3,75.61,6.63,43.11,85.19,1.99,21.89,94.12,1.041,NA,NA
2009,semi-finals,New Jersey Devils,10.93,87.42,9.71,72.85,3.64,31.57,77.78,0,13.36,95.65,0.957,NA,NA
2009,semi-finals,Philadelphia Flyers,15.63,93.78,15.63,61.22,6.51,49.49,78.57,3.91,23.44,88.89,1.032,NA,NA
2009,semi-finals,Pittsburgh Penguins,13.57,100.94,10.18,75.49,4.24,52.59,76,0.85,22.9,86.57,0.866,NA,NA
2009,semi-finals,Anaheim Ducks,5.05,122.57,3.79,97.3,1.9,62.55,79.41,1.26,29.06,90.43,0.904,NA,NA
2009,semi-finals,San Jose Sharks,22.69,122.9,18.91,92.65,9.45,68.07,73.33,3.78,35.92,86.49,0.865,NA,NA
2009,semi-finals,Columbus Blue Jackets,11.59,125.54,11.59,94.64,0,40.56,57.14,0,15.45,79.41,0.794,NA,NA
2009,semi-finals,Detroit Red Wings,17.54,101.12,17.54,75.32,9.29,45.4,60,2.06,21.67,81.03,0.81,NA,NA
2009,semi-finals,St Louis Blues,11.04,103.8,11.04,79.51,4.42,68.47,71.43,0,24.29,82.61,0.826,NA,NA
2009,semi-finals,Vancouver Canucks,8.38,99.03,6.09,72.37,6.09,47.99,76.19,2.29,19.81,86.15,0.862,NA,NA
2009,semi-finals,Chicago Blackhawks,6.27,87.76,5.37,70.75,2.69,41.19,76.47,0,20.6,83.33,1.083,NA,NA
2009,semi-finals,Calgary Flames,10.31,89.82,7.36,70.67,4.42,25.03,66.67,1.47,10.31,79.41,0.794,NA,NA
2009,finals,Boston Bruins,7.68,59.27,5.49,47.2,5.49,27.44,66.67,3.29,12.07,91.18,0.912,NA,NA
2009,finals,Montreal Canadiens,18.9,94.52,16.8,71.41,8.4,39.91,100,2.1,21,81.82,0.818,NA,NA
2009,finals,New York Rangers,7.63,111.24,6.54,83.97,2.18,64.34,78.95,1.09,26.17,89.09,0.891,NA,NA
2009,finals,Washington Capitals,12.21,89.89,9.43,67.14,3.33,43.28,66.67,0.55,16.65,85.56,1.009,NA,NA
2009,finals,Carolina Hurricanes,15.22,99.44,8.62,78.13,8.12,46.17,83.87,3.04,19.28,93.1,0.998,NA,NA
2009,finals,New Jersey Devils,10.93,87.42,9.71,72.85,3.64,31.57,77.78,0,13.36,95.65,0.957,NA,NA
2009,finals,Philadelphia Flyers,15.63,93.78,15.63,61.22,6.51,49.49,78.57,3.91,23.44,88.89,1.032,NA,NA
2009,finals,Pittsburgh Penguins,12.83,99.25,9.45,74.94,4.73,50.64,80,1.35,22.28,88.1,0.881,NA,NA
2009,finals,Anaheim Ducks,5.05,122.57,3.79,97.3,1.9,62.55,79.41,1.26,29.06,90.43,0.904,NA,NA
2009,finals,San Jose Sharks,22.69,122.9,18.91,92.65,9.45,68.07,73.33,3.78,35.92,86.49,0.865,NA,NA
2009,finals,Columbus Blue Jackets,11.59,125.54,11.59,94.64,0,40.56,57.14,0,15.45,79.41,0.794,NA,NA
2009,finals,Detroit Red Wings,16.97,102.51,16.26,76.36,9.9,40.3,59.09,2.83,19.8,81.93,0.872,NA,NA
2009,finals,St Louis Blues,11.04,103.8,11.04,79.51,4.42,68.47,71.43,0,24.29,82.61,0.826,NA,NA
2009,finals,Vancouver Canucks,8.38,99.03,6.09,72.37,6.09,47.99,76.19,2.29,19.81,86.15,0.862,NA,NA
2009,finals,Chicago Blackhawks,7.62,100.32,6.35,80.63,5.08,42.54,79.31,0.63,22.22,84.78,0.991,NA,NA
2009,finals,Calgary Flames,10.31,89.82,7.36,70.67,4.42,25.03,66.67,1.47,10.31,79.41,0.794,NA,NA
2010,quarter-finals,Montreal Canadiens,13.66,129.28,9.46,93.55,7.36,71.47,100,0,25.23,98.36,0.984,0.51,8
2010,quarter-finals,Washington Capitals,17.4,88.26,14.92,65.88,8.7,47.24,73.33,4.97,23.62,83.78,1.088,0.93,5.46
2010,quarter-finals,Philadelphia Flyers,8.25,104.95,4.72,70.75,3.54,43.63,83.33,2.36,23.58,90,0.9,0.28,6.17
2010,quarter-finals,New Jersey Devils,8.24,96.18,5.5,79.69,4.12,52.21,58.33,2.75,23.36,80,1.3,0.42,7.34
2010,quarter-finals,Boston Bruins,26.65,72.85,23.1,56.86,12.44,31.98,100,7.11,14.22,100,1,1.37,4.7
2010,quarter-finals,Buffalo Sabres,8.91,112.28,8.91,81.98,1.78,48.12,71.43,0,26.73,82.35,0.824,0.18,7.42
2010,quarter-finals,Ottawa Senators,9.61,94.74,9.61,68.65,2.75,50.8,83.33,0,13.73,81.58,0.816,0.42,5.2
2010,quarter-finals,Pittsburgh Penguins,16.41,85.67,14.58,65.62,7.29,38.28,33.33,1.82,16.41,74.07,0.941,1.97,5.25
2010,quarter-finals,Colorado Avalanche,13.28,144.8,9.3,106.27,3.99,69.08,84.21,1.33,27.9,92.19,0.922,0.5,8.67
2010,quarter-finals,San Jose Sharks,0,131.39,0,84.09,0,78.83,100,0,42.04,91.67,NA,0,8.05
2010,quarter-finals,Nashville Predators,10.66,99.51,8.88,81.74,7.11,56.86,77.78,3.55,31.98,88.89,1.139,0.52,9.45
2010,quarter-finals,Chicago Blackhawks,19.92,102.07,18.67,68.46,12.45,46.06,83.33,8.71,11.2,97.37,1.074,1.59,5.18
2010,quarter-finals,Los Angeles Kings,6.72,92.39,6.72,77.27,1.68,36.96,72.73,0,21.84,78.57,0.786,0.31,5.53
2010,quarter-finals,Vancouver Canucks,10.27,90.95,8.8,77.75,4.4,52.81,54.55,1.47,20.54,75.61,0.756,0.4,6.79
2010,quarter-finals,Phoenix Coyotes,12.4,120.6,10.14,99.19,3.38,66.5,83.33,3.38,29.3,87.3,0.998,0.52,7.8
2010,quarter-finals,Detroit Red Wings,12.25,99.1,12.25,69.04,4.45,40.09,100,2.23,15.59,86.96,0.87,0.54,6.24
2010,semi-finals,Montreal Canadiens,10.94,126.08,8.64,87.51,5.76,67.94,95.24,1.15,20.15,91.26,1.013,0.55,7.48
2010,semi-finals,Washington Capitals,17.4,88.26,14.92,65.88,8.7,47.24,73.33,4.97,23.62,83.78,1.088,0.93,5.46
2010,semi-finals,Philadelphia Flyers,9.65,92.38,6.2,66.18,3.45,41.36,64.71,1.38,19.3,86.96,0.87,0.27,5.58
2010,semi-finals,New Jersey Devils,8.24,96.18,5.5,79.69,4.12,52.21,58.33,2.75,23.36,80,1.3,0.42,7.34
2010,semi-finals,Boston Bruins,20.35,72.97,17.54,55.43,7.72,35.08,88.24,4.21,16.14,91.67,0.917,0.88,4.89
2010,semi-finals,Buffalo Sabres,8.91,112.28,8.91,81.98,1.78,48.12,71.43,0,26.73,82.35,0.824,0.18,7.42
2010,semi-finals,Ottawa Senators,9.61,94.74,9.61,68.65,2.75,50.8,83.33,0,13.73,81.58,0.816,0.42,5.2
2010,semi-finals,Pittsburgh Penguins,15.64,98.47,12.88,72.7,5.52,45.09,52.94,1.84,19.33,80,0.911,1.32,6.56
2010,semi-finals,Colorado Avalanche,13.28,144.8,9.3,106.27,3.99,69.08,84.21,1.33,27.9,92.19,0.922,0.5,8.67
2010,semi-finals,San Jose Sharks,5.02,123.45,4.01,86.31,3.01,65.24,86.36,1,31.11,90.63,0.906,0.29,7.69
2010,semi-finals,Nashville Predators,10.66,99.51,8.88,81.74,7.11,56.86,77.78,3.55,31.98,88.89,1.139,0.52,9.45
2010,semi-finals,Chicago Blackhawks,18.09,105.19,17.42,71.69,11.39,44.22,77.78,8.71,16.75,91.89,1.077,1.57,5.59
2010,semi-finals,Los Angeles Kings,6.72,92.39,6.72,77.27,1.68,36.96,72.73,0,21.84,78.57,0.786,0.31,5.53
2010,semi-finals,Vancouver Canucks,8.56,95.56,6.42,77.02,4.99,53.49,54.17,0.71,21.39,80,0.8,0.32,7.3
2010,semi-finals,Phoenix Coyotes,12.4,120.6,10.14,99.19,3.38,66.5,83.33,3.38,29.3,87.3,0.998,0.52,7.8
2010,semi-finals,Detroit Red Wings,10.67,98.96,9.48,77.63,4.74,40.89,88.89,1.19,16,87.37,0.874,0.41,6.59
2010,finals,Montreal Canadiens,11.64,113.78,9.05,78.44,5.17,62.49,87.1,0.86,21.12,89.68,0.974,0.51,7.04
2010,finals,Washington Capitals,17.4,88.26,14.92,65.88,8.7,47.24,73.33,4.97,23.62,83.78,1.088,0.93,5.46
2010,finals,Philadelphia Flyers,12.67,94.06,10.23,65.3,5.36,42.89,76,2.44,18.03,90,0.959,0.54,6.04
2010,finals,New Jersey Devils,8.24,96.18,5.5,79.69,4.12,52.21,58.33,2.75,23.36,80,1.3,0.42,7.34
2010,finals,Boston Bruins,20.35,72.97,17.54,55.43,7.72,35.08,88.24,4.21,16.14,91.67,0.917,0.88,4.89
2010,finals,Buffalo Sabres,8.91,112.28,8.91,81.98,1.78,48.12,71.43,0,26.73,82.35,0.824,0.18,7.42
2010,finals,Ottawa Senators,9.61,94.74,9.61,68.65,2.75,50.8,83.33,0,13.73,81.58,0.816,0.42,5.2
2010,finals,Pittsburgh Penguins,15.64,98.47,12.88,72.7,5.52,45.09,52.94,1.84,19.33,80,0.911,1.32,6.56
2010,finals,Colorado Avalanche,13.28,144.8,9.3,106.27,3.99,69.08,84.21,1.33,27.9,92.19,0.922,0.5,8.67
2010,finals,San Jose Sharks,7.64,113.07,4.58,80.22,2.29,55.77,76,0.76,26.74,87.14,1.121,0.27,7.36
2010,finals,Nashville Predators,10.66,99.51,8.88,81.74,7.11,56.86,77.78,3.55,31.98,88.89,1.139,0.52,9.45
2010,finals,Chicago Blackhawks,16.87,115.37,15.78,79.46,9.8,48.98,81.48,7.07,19.05,91.35,1.063,1.37,6.62
2010,finals,Los Angeles Kings,6.72,92.39,6.72,77.27,1.68,36.96,72.73,0,21.84,78.57,0.786,0.31,5.53
2010,finals,Vancouver Canucks,8.56,95.56,6.42,77.02,4.99,53.49,54.17,0.71,21.39,80,0.8,0.32,7.3
2010,finals,Phoenix Coyotes,12.4,120.6,10.14,99.19,3.38,66.5,83.33,3.38,29.3,87.3,0.998,0.52,7.8
2010,finals,Detroit Red Wings,10.67,98.96,9.48,77.63,4.74,40.89,88.89,1.19,16,87.37,0.874,0.41,6.59
2011,quarter-finals,New York Rangers,11.77,120.08,9.42,77.7,2.35,49.44,50,0,14.13,84.21,0.842,0.28,6.8
2011,quarter-finals,Washington Capitals,11.8,72.51,8.43,48.9,3.37,33.72,100,3.37,20.23,95.45,0.955,0.64,5.16
2011,quarter-finals,Buffalo Sabres,12.31,119.74,11.19,90.64,2.24,58.19,94.74,1.12,32.45,90.38,0.904,0.53,8.24
2011,quarter-finals,Philadelphia Flyers,13.17,106.59,10.78,75.45,2.4,55.09,77.78,2.4,28.74,84.78,0.848,0.51,7.04
2011,quarter-finals,Montreal Canadiens,13.34,69.66,10.37,45.94,8.89,25.2,100,4.45,7.41,100,1.167,0.87,2.94
2011,quarter-finals,Boston Bruins,22.14,77.5,17.4,60.11,4.75,33.22,50,1.58,11.07,76.92,0.769,0.68,5.71
2011,quarter-finals,Tampa Bay Lightning,8.16,93.8,5.1,73.41,4.08,36.7,100,2.04,15.29,98.04,1.23,1.06,5.63
2011,quarter-finals,Pittsburgh Penguins,10.18,93.05,8.72,69.79,8.72,34.89,57.14,1.45,23.26,74.19,0.742,0.59,6.5
2011,quarter-finals,Chicago Blackhawks,13.4,111.66,11.17,75.93,11.17,55.83,77.78,8.93,20.1,83.33,1.033,1.5,6.53
2011,quarter-finals,Vancouver Canucks,12.68,73.27,12.68,59.18,8.45,46.5,85.71,4.23,11.27,80.65,0.806,0.75,5.73
2011,quarter-finals,Los Angeles Kings,12.35,131.22,9.26,100.34,6.17,63.29,92.31,0,27.79,95.65,0.957,0.45,8.71
2011,quarter-finals,San Jose Sharks,16.32,91.97,14.83,56.37,8.9,35.6,66.67,2.97,10.38,80.77,0.808,1.1,4.96
2011,quarter-finals,Phoenix Coyotes,14.26,116.96,8.56,102.69,2.85,48.49,100,0,19.97,82.61,0.826,0.24,6.88
2011,quarter-finals,Detroit Red Wings,13.18,100.15,13.18,71.16,7.91,52.71,57.14,2.64,26.35,68.42,0.684,1.16,8.48
2011,quarter-finals,Anaheim Ducks,5.14,105.47,5.14,73.31,2.57,60.45,73.33,1.29,27.01,85.37,1.854,0.4,6.76
2011,quarter-finals,Nashville Predators,6.58,93.83,4.94,72.43,0,59.26,56.25,0,27.98,77.78,0.778,0.06,8.02
2011,semi-finals,New York Rangers,11.77,120.08,9.42,77.7,2.35,49.44,50,0,14.13,84.21,0.842,0.28,6.8
2011,semi-finals,Washington Capitals,13.99,76.46,10.26,49.42,4.66,39.16,85.71,3.73,21.45,86.49,0.865,0.73,4.75
2011,semi-finals,Buffalo Sabres,12.31,119.74,11.19,90.64,2.24,58.19,94.74,1.12,32.45,90.38,0.904,0.53,8.24
2011,semi-finals,Philadelphia Flyers,13.76,96.29,12.23,68.01,2.29,42.79,77.27,2.29,21.4,85.48,0.855,0.48,5.83
2011,semi-finals,Montreal Canadiens,13.34,69.66,10.37,45.94,8.89,25.2,100,4.45,7.41,100,1.167,0.87,2.94
2011,semi-finals,Boston Bruins,16.26,80.36,13.39,63.14,3.83,31.57,76.92,0.96,16.26,84.31,0.843,0.49,6.44
2011,semi-finals,Tampa Bay Lightning,12.79,99.64,10.77,72.71,7.41,41.07,90,4.04,18.85,96,1.043,1.61,6.2
2011,semi-finals,Pittsburgh Penguins,10.18,93.05,8.72,69.79,8.72,34.89,57.14,1.45,23.26,74.19,0.742,0.59,6.5
2011,semi-finals,Chicago Blackhawks,13.4,111.66,11.17,75.93,11.17,55.83,77.78,8.93,20.1,83.33,1.033,1.5,6.53
2011,semi-finals,Vancouver Canucks,10.43,71.51,9.68,59.59,6.7,40.22,85.71,3.72,13.41,88.33,1.008,0.58,5.69
2011,semi-finals,Los Angeles Kings,12.35,131.22,9.26,100.34,6.17,63.29,92.31,0,27.79,95.65,0.957,0.45,8.71
2011,semi-finals,San Jose Sharks,14.67,87.99,12.57,57.96,6.29,40.5,82.35,2.79,13.97,85.71,0.857,0.69,5.28
2011,semi-finals,Phoenix Coyotes,14.26,116.96,8.56,102.69,2.85,48.49,100,0,19.97,82.61,0.826,0.24,6.88
2011,semi-finals,Detroit Red Wings,9.67,123.96,7.03,90.55,6.15,64.18,76.19,1.76,23.74,85.14,0.851,0.65,9.08
2011,semi-finals,Anaheim Ducks,5.14,105.47,5.14,73.31,2.57,60.45,73.33,1.29,27.01,85.37,1.854,0.4,6.76
2011,semi-finals,Nashville Predators,10.02,95.62,9.11,71.03,3.64,56.46,58.33,3.64,24.59,81.25,1.013,0.33,7.07
2011,finals,New York Rangers,11.77,120.08,9.42,77.7,2.35,49.44,50,0,14.13,84.21,0.842,0.28,6.8
2011,finals,Washington Capitals,13.99,76.46,10.26,49.42,4.66,39.16,85.71,3.73,21.45,86.49,0.865,0.73,4.75
2011,finals,Buffalo Sabres,12.31,119.74,11.19,90.64,2.24,58.19,94.74,1.12,32.45,90.38,0.904,0.53,8.24
2011,finals,Philadelphia Flyers,13.76,96.29,12.23,68.01,2.29,42.79,77.27,2.29,21.4,85.48,0.855,0.48,5.83
