Year,Up.To.Round,Team,CF.Playoff.PP,CA.Playoff.PP,FenFor.Playoff.PP,FenAga.Playoff.PP,SCF.Playoff.PP,SCA.Playoff.PP,HDSV.Playoff.PP,HDCF.Playoff.PP,HDCA.Playoff.PP,SavePercentage.Playoff.PP,PDO.Playoff.PP,xGF.Playoff.PP,xGA.Playoff.PP
2008,quarter-finals,Montreal Canadiens,101.44,27.57,63.95,22.05,5.28,0.75,0,66.67,10,4.35,100,NA,NA
2008,quarter-finals,Boston Bruins,106.22,11.42,71.95,11.42,5.36,0.93,0,100,11.76,4.35,100,NA,NA
2008,quarter-finals,Ottawa Senators,119.08,12.21,82.44,9.16,6.44,0.1,0,100,12.5,0,100,NA,NA
2008,quarter-finals,Pittsburgh Penguins,126.09,19.4,103.46,16.17,9.89,1.35,0,100,14.29,6.67,100,NA,NA
2008,quarter-finals,Philadelphia Flyers,118.95,18.3,92.52,16.27,8.29,0.86,0,100,12.2,11.54,100,NA,NA
2008,quarter-finals,Washington Capitals,114.5,11.01,78.17,8.81,7.98,0.51,0,100,20.69,9.52,100,NA,NA
2008,quarter-finals,New York Rangers,62.88,17.97,56.14,15.72,5.1,1.58,0,100,36.36,0,100,NA,NA
2008,quarter-finals,New Jersey Devils,73.3,13.03,50.5,13.03,6.08,1.27,1.63,80,28.57,14.29,100,NA,NA
2008,quarter-finals,Nashville Predators,69.94,31.29,46.01,25.77,3.77,0.87,0,100,16.67,0,100,NA,NA
2008,quarter-finals,Detroit Red Wings,106.17,19.82,83.52,18.4,7.27,0.88,0,100,8,4.76,100,NA,NA
2008,quarter-finals,Calgary Flames,65.42,13.47,51.95,9.62,4.6,0.65,0,100,41.67,11.11,100,NA,NA
2008,quarter-finals,San Jose Sharks,104.71,7.22,84.25,6.02,8.11,0.38,0,100,18.18,0,100,NA,NA
2008,quarter-finals,Colorado Avalanche,83.04,16.37,66.67,14.04,5.69,0.98,2.34,66.67,16,11.76,100,NA,NA
2008,quarter-finals,Minnesota Wild,136.83,3.26,112.4,3.26,9.44,0.13,1.63,66.67,8,3.45,NA,NA,NA
2008,quarter-finals,Dallas Stars,81.14,12.81,69.4,9.61,6.96,0.42,0,100,30,4,100,NA,NA
2008,quarter-finals,Anaheim Ducks,93.53,15.3,69.72,11.9,6.12,0.73,0,100,33.33,6.67,100,NA,NA
2008,semi-finals,Montreal Canadiens,101.69,23.97,71.25,18.78,6.9,0.67,0,87.5,17.5,2.86,75,NA,NA
2008,semi-finals,Boston Bruins,106.22,11.42,71.95,11.42,5.36,0.93,0,100,11.76,4.35,100,NA,NA
2008,semi-finals,Ottawa Senators,119.08,12.21,82.44,9.16,6.44,0.1,0,100,12.5,0,100,NA,NA
2008,semi-finals,Pittsburgh Penguins,110.36,17.51,91.33,13.7,8.34,0.93,0,100,15.87,3.57,100,NA,NA
2008,semi-finals,Philadelphia Flyers,108.88,21.64,81.66,18.84,7.52,1.16,0.7,88.89,16,11.11,100,NA,NA
2008,semi-finals,Washington Capitals,114.5,11.01,78.17,8.81,7.98,0.51,0,100,20.69,9.52,100,NA,NA
2008,semi-finals,New York Rangers,87.87,10.98,63.37,9.29,6.69,0.85,0,100,17.65,5.26,100,NA,NA
2008,semi-finals,New Jersey Devils,73.3,13.03,50.5,13.03,6.08,1.27,1.63,80,28.57,14.29,100,NA,NA
2008,semi-finals,Nashville Predators,69.94,31.29,46.01,25.77,3.77,0.87,0,100,16.67,0,100,NA,NA
2008,semi-finals,Detroit Red Wings,110.76,12.75,90.04,11.16,7.94,0.5,0,100,14.58,7.32,100,NA,NA
2008,semi-finals,Calgary Flames,65.42,13.47,51.95,9.62,4.6,0.65,0,100,41.67,11.11,100,NA,NA
2008,semi-finals,San Jose Sharks,89.31,8.18,69.18,6.29,6.55,0.39,0,100,15.69,0,100,NA,NA
2008,semi-finals,Colorado Avalanche,85.15,16.88,70.57,14.57,6.08,1.41,3.07,63.64,17.07,11.54,100,NA,NA
2008,semi-finals,Minnesota Wild,136.83,3.26,112.4,3.26,9.44,0.13,1.63,66.67,8,3.45,NA,NA,NA
2008,semi-finals,Dallas Stars,73.6,13.93,61.01,9.95,5.64,0.57,0.66,85.71,30,8.33,100,NA,NA
2008,semi-finals,Anaheim Ducks,93.53,15.3,69.72,11.9,6.12,0.73,0,100,33.33,6.67,100,NA,NA
2008,finals,Montreal Canadiens,101.69,23.97,71.25,18.78,6.9,0.67,0,87.5,17.5,2.86,75,NA,NA
2008,finals,Boston Bruins,106.22,11.42,71.95,11.42,5.36,0.93,0,100,11.76,4.35,100,NA,NA
2008,finals,Ottawa Senators,119.08,12.21,82.44,9.16,6.44,0.1,0,100,12.5,0,100,NA,NA
2008,finals,Pittsburgh Penguins,109.34,19.12,86.04,16.13,8.09,1.07,0.6,92.86,18.06,7.89,100,NA,NA
2008,finals,Philadelphia Flyers,104.02,19.01,77.62,16.37,7.21,1.08,1.06,84.62,17.46,9.09,100,NA,NA
2008,finals,Washington Capitals,114.5,11.01,78.17,8.81,7.98,0.51,0,100,20.69,9.52,100,NA,NA
2008,finals,New York Rangers,87.87,10.98,63.37,9.29,6.69,0.85,0,100,17.65,5.26,100,NA,NA
2008,finals,New Jersey Devils,73.3,13.03,50.5,13.03,6.08,1.27,1.63,80,28.57,14.29,100,NA,NA
2008,finals,Nashville Predators,69.94,31.29,46.01,25.77,3.77,0.87,0,100,16.67,0,100,NA,NA
2008,finals,Detroit Red Wings,115.52,11.39,91.65,9.76,8.07,0.4,0,100,16.22,7.14,100,NA,NA
2008,finals,Calgary Flames,65.42,13.47,51.95,9.62,4.6,0.65,0,100,41.67,11.11,100,NA,NA
2008,finals,San Jose Sharks,89.31,8.18,69.18,6.29,6.55,0.39,0,100,15.69,0,100,NA,NA
2008,finals,Colorado Avalanche,85.15,16.88,70.57,14.57,6.08,1.41,3.07,63.64,17.07,11.54,100,NA,NA
2008,finals,Minnesota Wild,136.83,3.26,112.4,3.26,9.44,0.13,1.63,66.67,8,3.45,NA,NA,NA
2008,finals,Dallas Stars,68.47,14.19,53.86,11.27,4.44,0.77,1.25,76.47,27.08,9.09,100,NA,NA
2008,finals,Anaheim Ducks,93.53,15.3,69.72,11.9,6.12,0.73,0,100,33.33,6.67,100,NA,NA
2009,quarter-finals,Montreal Canadiens,60.18,10.62,42.48,10.62,3.01,0.96,0,NA,0,0,100,NA,NA
2009,quarter-finals,Boston Bruins,94.52,18.9,71.41,16.8,5.7,0.48,0,100,18.18,18.18,100,NA,NA
2009,quarter-finals,New York Rangers,80,9.55,54.93,5.97,4.62,0.25,0,80,21.05,0,NA,NA,NA
2009,quarter-finals,Washington Capitals,111.24,7.63,83.97,6.54,8.49,0.31,0,100,13.64,0,100,NA,NA
2009,quarter-finals,Carolina Hurricanes,87.42,10.93,72.85,9.71,6.04,0.48,0,100,11.11,0,100,NA,NA
2009,quarter-finals,New Jersey Devils,104.98,14.08,84.5,6.4,8.17,0.38,0,100,12.5,0,100,NA,NA
2009,quarter-finals,Pittsburgh Penguins,93.78,15.63,61.22,15.63,6.24,0.94,1.3,75,14.29,6.67,100,NA,NA
2009,quarter-finals,Philadelphia Flyers,111.79,16.98,87.74,11.32,9.3,0.69,0,100,14.81,0,100,NA,NA
2009,quarter-finals,Anaheim Ducks,122.9,22.69,92.65,18.91,10.54,1.02,0,100,20.83,0,100,NA,NA
2009,quarter-finals,San Jose Sharks,125.5,4.09,98.22,2.73,9.52,0.04,0,100,13.33,0,NA,NA,NA
2009,quarter-finals,Columbus Blue Jackets,112.85,8.46,81.82,8.46,5.58,0.45,0,100,30,0,100,NA,NA
2009,quarter-finals,Detroit Red Wings,125.54,11.59,94.64,11.59,5.78,0.28,0,100,28.57,15,100,NA,NA
2009,quarter-finals,St Louis Blues,98.78,7.6,74.46,4.56,7.01,0.52,0,100,5,0,NA,NA,NA
2009,quarter-finals,Vancouver Canucks,103.8,11.04,79.51,11.04,7.58,0.61,0,100,15.38,20,100,NA,NA
2009,quarter-finals,Calgary Flames,77.06,6.61,68.26,6.61,5.99,0.25,0,100,16.67,0,100,NA,NA
2009,quarter-finals,Chicago Blackhawks,89.82,10.31,70.67,7.36,4.71,0.44,0,100,40,12.5,100,NA,NA
2009,semi-finals,Montreal Canadiens,60.18,10.62,42.48,10.62,3.01,0.96,0,NA,0,0,100,NA,NA
2009,semi-finals,Boston Bruins,88.96,15.8,68.18,11.64,6.09,0.57,0,80,13.33,7.14,100,NA,NA
2009,semi-finals,New York Rangers,80,9.55,54.93,5.97,4.62,0.25,0,80,21.05,0,NA,NA,NA
2009,semi-finals,Washington Capitals,102.22,7.92,74.87,7.2,7.18,0.28,0,100,18.64,0,100,NA,NA
2009,semi-finals,Carolina Hurricanes,75.06,8.95,62.66,6.89,5.4,0.43,0,100,16.67,0,100,NA,NA
2009,semi-finals,New Jersey Devils,104.98,14.08,84.5,6.4,8.17,0.38,0,100,12.5,0,100,NA,NA
2009,semi-finals,Pittsburgh Penguins,96.39,15.01,70.42,13.85,6.56,0.65,0.58,91.67,22.45,4.65,87.5,NA,NA
2009,semi-finals,Philadelphia Flyers,111.79,16.98,87.74,11.32,9.3,0.69,0,100,14.81,0,100,NA,NA
2009,semi-finals,Anaheim Ducks,107.55,22.74,81.32,20.99,9.08,1.28,0,100,23.91,8,100,NA,NA
2009,semi-finals,San Jose Sharks,125.5,4.09,98.22,2.73,9.52,0.04,0,100,13.33,0,NA,NA,NA
2009,semi-finals,Columbus Blue Jackets,112.85,8.46,81.82,8.46,5.58,0.45,0,100,30,0,100,NA,NA
2009,semi-finals,Detroit Red Wings,122.12,8.04,95.8,7.31,7.04,0.31,0,100,20.83,8.51,100,NA,NA
2009,semi-finals,St Louis Blues,98.78,7.6,74.46,4.56,7.01,0.52,0,100,5,0,NA,NA,NA
2009,semi-finals,Vancouver Canucks,98.63,8.07,75.32,7.17,6.91,0.37,0,88.89,26.67,11.54,100,NA,NA
2009,semi-finals,Calgary Flames,77.06,6.61,68.26,6.61,5.99,0.25,0,100,16.67,0,100,NA,NA
2009,semi-finals,Chicago Blackhawks,94.46,9.75,70.47,7.5,5.48,0.38,0,100,35.71,12.82,100,NA,NA
2009,finals,Montreal Canadiens,60.18,10.62,42.48,10.62,3.01,0.96,0,NA,0,0,100,NA,NA
2009,finals,Boston Bruins,88.96,15.8,68.18,11.64,6.09,0.57,0,80,13.33,7.14,100,NA,NA
2009,finals,New York Rangers,80,9.55,54.93,5.97,4.62,0.25,0,80,21.05,0,NA,NA,NA
2009,finals,Washington Capitals,102.22,7.92,74.87,7.2,7.18,0.28,0,100,18.64,0,100,NA,NA
2009,finals,Carolina Hurricanes,78.09,9.12,64.41,6.84,5.37,0.45,0,100,13.51,2,100,NA,NA
2009,finals,New Jersey Devils,104.98,14.08,84.5,6.4,8.17,0.38,0,100,12.5,0,100,NA,NA
2009,finals,Pittsburgh Penguins,99.73,15.94,73.78,13.66,6.46,0.7,0.46,93.33,21.21,3.51,88.89,NA,NA
2009,finals,Philadelphia Flyers,111.79,16.98,87.74,11.32,9.3,0.69,0,100,14.81,0,100,NA,NA
2009,finals,Anaheim Ducks,107.55,22.74,81.32,20.99,9.08,1.28,0,100,23.91,8,100,NA,NA
2009,finals,San Jose Sharks,125.5,4.09,98.22,2.73,9.52,0.04,0,100,13.33,0,NA,NA,NA
2009,finals,Columbus Blue Jackets,112.85,8.46,81.82,8.46,5.58,0.45,0,100,30,0,100,NA,NA
2009,finals,Detroit Red Wings,124.33,8.76,98.04,7.67,7.66,0.36,0,100,19.7,9.09,100,NA,NA
2009,finals,St Louis Blues,98.78,7.6,74.46,4.56,7.01,0.52,0,100,5,0,NA,NA,NA
2009,finals,Vancouver Canucks,98.63,8.07,75.32,7.17,6.91,0.37,0,88.89,26.67,11.54,100,NA,NA
2009,finals,Calgary Flames,77.06,6.61,68.26,6.61,5.99,0.25,0,100,16.67,0,100,NA,NA
2009,finals,Chicago Blackhawks,97.24,11.24,72.51,8.99,5.81,0.48,0.56,92.86,35.14,10.91,100,NA,NA
2010,quarter-finals,Montreal Canadiens,88.26,17.4,65.88,14.92,47.24,8.7,33.33,23.62,4.97,75,0.912,5.46,0.93
2010,quarter-finals,Washington Capitals,129.28,13.66,93.55,9.46,71.47,7.36,NA,25.23,0,100,1.016,8,0.51
2010,quarter-finals,Philadelphia Flyers,96.18,8.24,79.69,5.5,52.21,4.12,50,23.36,2.75,50,0.7,7.34,0.42
2010,quarter-finals,New Jersey Devils,104.95,8.25,70.75,4.72,43.63,3.54,100,23.58,2.36,100,1.1,6.17,0.28
2010,quarter-finals,Buffalo Sabres,72.85,26.65,56.86,23.1,31.98,12.44,100,14.22,7.11,100,1,4.7,1.37
2010,quarter-finals,Boston Bruins,112.28,8.91,81.98,8.91,48.12,1.78,NA,26.73,0,100,1.176,7.42,0.18
2010,quarter-finals,Ottawa Senators,85.67,16.41,65.62,14.58,38.28,7.29,0,16.41,1.82,80,1.059,5.25,1.97
2010,quarter-finals,Pittsburgh Penguins,94.74,9.61,68.65,9.61,50.8,2.75,NA,13.73,0,100,1.184,5.2,0.42
2010,quarter-finals,Colorado Avalanche,131.39,0,84.09,0,78.83,0,NA,42.04,0,NA,NA,8.05,0
2010,quarter-finals,San Jose Sharks,144.8,13.28,106.27,9.3,69.08,3.99,100,27.9,1.33,100,1.078,8.67,0.5
2010,quarter-finals,Nashville Predators,102.07,19.92,68.46,18.67,46.06,12.45,75,11.2,8.71,90,0.926,5.18,1.59
2010,quarter-finals,Chicago Blackhawks,99.51,10.66,81.74,8.88,56.86,7.11,50,31.98,3.55,75,0.861,9.45,0.52
2010,quarter-finals,Los Angeles Kings,90.95,10.27,77.75,8.8,52.81,4.4,100,20.54,1.47,100,1.244,6.79,0.4
2010,quarter-finals,Vancouver Canucks,92.39,6.72,77.27,6.72,36.96,1.68,NA,21.84,0,100,1.214,5.53,0.31
2010,quarter-finals,Detroit Red Wings,120.6,12.4,99.19,10.14,66.5,3.38,66.67,29.3,3.38,87.5,1.002,7.8,0.52
2010,quarter-finals,Phoenix Coyotes,99.1,12.25,69.04,12.25,40.09,4.45,100,15.59,2.23,100,1.13,6.24,0.54
2010,semi-finals,Montreal Canadiens,97.58,16.39,71.51,13.41,49.16,6.7,50,23.09,3.72,83.33,0.99,6.43,0.82
2010,semi-finals,Washington Capitals,129.28,13.66,93.55,9.46,71.47,7.36,NA,25.23,0,100,1.016,8,0.51
2010,semi-finals,Philadelphia Flyers,83.63,12.58,66.03,10.06,44.02,4.4,66.67,20.12,2.52,90,1.069,6.08,0.49
2010,semi-finals,New Jersey Devils,104.95,8.25,70.75,4.72,43.63,3.54,100,23.58,2.36,100,1.1,6.17,0.28
2010,semi-finals,Buffalo Sabres,72.85,26.65,56.86,23.1,31.98,12.44,100,14.22,7.11,100,1,4.7,1.37
2010,semi-finals,Boston Bruins,92.81,10.31,70.47,8.59,42.97,2.58,NA,19.77,0,100,1.175,6.04,0.22
2010,semi-finals,Ottawa Senators,85.67,16.41,65.62,14.58,38.28,7.29,0,16.41,1.82,80,1.059,5.25,1.97
2010,semi-finals,Pittsburgh Penguins,108.99,8.59,74.64,8.59,57.47,3.3,50,13.87,1.32,90.91,1.097,6.05,0.51
2010,semi-finals,Colorado Avalanche,131.39,0,84.09,0,78.83,0,NA,42.04,0,NA,NA,8.05,0
2010,semi-finals,San Jose Sharks,121.25,11.02,96.61,7.78,55.12,4.54,100,22.05,0.65,100,1.097,7.81,0.37
2010,semi-finals,Nashville Predators,102.07,19.92,68.46,18.67,46.06,12.45,75,11.2,8.71,90,0.926,5.18,1.59
2010,semi-finals,Chicago Blackhawks,99.74,8.57,78.7,6.23,55.32,6.23,50,26.49,1.56,85.71,0.995,8.51,0.36
2010,semi-finals,Los Angeles Kings,90.95,10.27,77.75,8.8,52.81,4.4,100,20.54,1.47,100,1.244,6.79,0.4
2010,semi-finals,Vancouver Canucks,101.21,11.68,76.3,11.68,39.71,6.23,60,22.58,4.67,81.82,0.99,5.81,0.97
2010,semi-finals,Detroit Red Wings,119.76,10.64,94.47,8.65,62.54,3.99,66.67,27.28,2.66,90,1.017,7.66,0.5
2010,semi-finals,Phoenix Coyotes,99.1,12.25,69.04,12.25,40.09,4.45,100,15.59,2.23,100,1.13,6.24,0.54
2010,finals,Montreal Canadiens,97.74,17.49,68.93,15.43,48.36,7.72,50,20.58,4.12,85.71,0.976,6.66,0.93
2010,finals,Washington Capitals,129.28,13.66,93.55,9.46,71.47,7.36,NA,25.23,0,100,1.016,8,0.51
2010,finals,Philadelphia Flyers,81.89,12.88,62.11,10.12,44.63,4.14,66.67,21.16,1.84,92.31,1.093,5.99,0.46
2010,finals,New Jersey Devils,104.95,8.25,70.75,4.72,43.63,3.54,100,23.58,2.36,100,1.1,6.17,0.28
2010,finals,Buffalo Sabres,72.85,26.65,56.86,23.1,31.98,12.44,100,14.22,7.11,100,1,4.7,1.37
2010,finals,Boston Bruins,92.81,10.31,70.47,8.59,42.97,2.58,NA,19.77,0,100,1.175,6.04,0.22
2010,finals,Ottawa Senators,85.67,16.41,65.62,14.58,38.28,7.29,0,16.41,1.82,80,1.059,5.25,1.97
2010,finals,Pittsburgh Penguins,108.99,8.59,74.64,8.59,57.47,3.3,50,13.87,1.32,90.91,1.097,6.05,0.51
2010,finals,Colorado Avalanche,131.39,0,84.09,0,78.83,0,NA,42.04,0,NA,NA,8.05,0
2010,finals,San Jose Sharks,128.23,11.13,99.62,7.95,57.76,4.24,100,23.31,0.53,100,1.098,8.41,0.4
2010,finals,Nashville Predators,102.07,19.92,68.46,18.67,46.06,12.45,75,11.2,8.71,90,0.926,5.18,1.59
2010,finals,Chicago Blackhawks,95.87,10.03,75.2,6.27,49.5,5.01,50,23.81,1.25,77.78,0.941,8.08,0.33
2010,finals,Los Angeles Kings,90.95,10.27,77.75,8.8,52.81,4.4,100,20.54,1.47,100,1.244,6.79,0.4
2010,finals,Vancouver Canucks,101.21,11.68,76.3,11.68,39.71,6.23,60,22.58,4.67,81.82,0.99,5.81,0.97
2010,finals,Detroit Red Wings,119.76,10.64,94.47,8.65,62.54,3.99,66.67,27.28,2.66,90,1.017,7.66,0.5
2010,finals,Phoenix Coyotes,99.1,12.25,69.04,12.25,40.09,4.45,100,15.59,2.23,100,1.13,6.24,0.54
2011,quarter-finals,New York Rangers,72.51,11.8,48.9,8.43,33.72,3.37,100,20.23,3.37,100,1.045,5.16,0.64
2011,quarter-finals,Washington Capitals,120.08,11.77,77.7,9.42,49.44,2.35,NA,14.13,0,100,1.158,6.8,0.28
2011,quarter-finals,Buffalo Sabres,106.59,13.17,75.45,10.78,55.09,2.4,100,28.74,2.4,100,1.152,7.04,0.51
2011,quarter-finals,Philadelphia Flyers,119.74,12.31,90.64,11.19,58.19,2.24,100,32.45,1.12,100,1.096,8.24,0.53
2011,quarter-finals,Montreal Canadiens,77.5,22.14,60.11,17.4,33.22,4.75,100,11.07,1.58,100,1.231,5.71,0.68
2011,quarter-finals,Boston Bruins,69.66,13.34,45.94,10.37,25.2,8.89,66.67,7.41,4.45,83.33,0.833,2.94,0.87
2011,quarter-finals,Tampa Bay Lightning,93.05,10.18,69.79,8.72,34.89,8.72,NA,23.26,1.45,100,1.258,6.5,0.59
2011,quarter-finals,Pittsburgh Penguins,93.8,8.16,73.41,5.1,36.7,4.08,100,15.29,2.04,75,0.77,5.63,1.06
2011,quarter-finals,Chicago Blackhawks,73.27,12.68,59.18,12.68,46.5,8.45,100,11.27,4.23,100,1.194,5.73,0.75
2011,quarter-finals,Vancouver Canucks,111.66,13.4,75.93,11.17,55.83,11.17,75,20.1,8.93,80,0.967,6.53,1.5
2011,quarter-finals,Los Angeles Kings,91.97,16.32,56.37,14.83,35.6,8.9,100,10.38,2.97,100,1.192,4.96,1.1
2011,quarter-finals,San Jose Sharks,131.22,12.35,100.34,9.26,63.29,6.17,NA,27.79,0,100,1.043,8.71,0.45
2011,quarter-finals,Detroit Red Wings,116.96,14.26,102.69,8.56,48.49,2.85,NA,19.97,0,100,1.174,6.88,0.24
2011,quarter-finals,Phoenix Coyotes,100.15,13.18,71.16,13.18,52.71,7.91,100,26.35,2.64,100,1.316,8.48,1.16
2011,quarter-finals,Nashville Predators,105.47,5.14,73.31,5.14,60.45,2.57,0,27.01,1.29,0,0.146,6.76,0.4
2011,quarter-finals,Anaheim Ducks,93.83,6.58,72.43,4.94,59.26,0,NA,27.98,0,100,1.222,8.02,0.06
2011,semi-finals,New York Rangers,72.51,11.8,48.9,8.43,33.72,3.37,100,20.23,3.37,100,1.045,5.16,0.64
2011,semi-finals,Washington Capitals,115.16,17.22,74.26,16.14,49.51,8.61,100,20.45,4.3,100,1.116,7.07,1.59
2011,semi-finals,Buffalo Sabres,106.59,13.17,75.45,10.78,55.09,2.4,100,28.74,2.4,100,1.152,7.04,0.51
2011,semi-finals,Philadelphia Flyers,108.67,10.71,83.42,9.95,48.98,2.3,100,29.85,0.77,100,1.091,8.02,0.43
2011,semi-finals,Montreal Canadiens,77.5,22.14,60.11,17.4,33.22,4.75,100,11.07,1.58,100,1.231,5.71,0.68
2011,semi-finals,Boston Bruins,73.15,13.93,49.64,12.19,23.51,6.1,75,7.84,3.48,92.31,0.977,3.25,0.69
2011,semi-finals,Tampa Bay Lightning,88.24,12.85,61.68,10.28,39.41,7.71,100,23.13,2.57,100,1.261,5.57,0.69
2011,semi-finals,Pittsburgh Penguins,93.8,8.16,73.41,5.1,36.7,4.08,100,15.29,2.04,75,0.77,5.63,1.06
2011,semi-finals,Chicago Blackhawks,73.27,12.68,59.18,12.68,46.5,8.45,100,11.27,4.23,100,1.194,5.73,0.75
2011,semi-finals,Vancouver Canucks,104.44,13.85,72.47,12.79,54.35,9.59,62.5,20.25,8.53,75,0.904,6.2,1.06
2011,semi-finals,Los Angeles Kings,91.97,16.32,56.37,14.83,35.6,8.9,100,10.38,2.97,100,1.192,4.96,1.1
2011,semi-finals,San Jose Sharks,133.73,9.96,100.3,6.4,66.86,5.69,100,24.9,0.71,100,1.069,9.07,0.42
2011,semi-finals,Detroit Red Wings,94.74,13.53,73.08,9.92,46.02,3.61,100,18.05,1.8,100,1.133,5.98,0.29
2011,semi-finals,Phoenix Coyotes,100.15,13.18,71.16,13.18,52.71,7.91,100,26.35,2.64,100,1.316,8.48,1.16
2011,semi-finals,Nashville Predators,89.34,6.38,67.36,5.67,48.22,3.55,0,21.98,2.13,0,0.1,6.26,0.39
2011,semi-finals,Anaheim Ducks,93.83,6.58,72.43,4.94,59.26,0,NA,27.98,0,100,1.222,8.02,0.06
2011,finals,New York Rangers,72.51,11.8,48.9,8.43,33.72,3.37,100,20.23,3.37,100,1.045,5.16,0.64
2011,finals,Washington Capitals,115.16,17.22,74.26,16.14,49.51,8.61,100,20.45,4.3,100,1.116,7.07,1.59
2011,finals,Buffalo Sabres,106.59,13.17,75.45,10.78,55.09,2.4,100,28.74,2.4,100,1.152,7.04,0.51
2011,finals,Philadelphia Flyers,108.67,10.71,83.42,9.95,48.98,2.3,100,29.85,0.77,100,1.091,8.02,0.43
2011,finals,Montreal Canadiens,77.5,22.14,60.11,17.4,33.22,4.75,100,11.07,1.58,100,1.231,5.71,0.68
2011,finals,Boston Bruins,72.81,12.57,51.33,11,21.48,4.71,75,7.86,2.1,94.74,1.022,3.43,0.54
2011,finals,Tampa Bay Lightning,93.02,13.29,69.33,10.98,41.02,7.51,100,21.38,2.31,92.86,1.131,5.9,0.69
2011,finals,Pittsburgh Penguins,93.8,8.16,73.41,5.1,36.7,4.08,100,15.29,2.04,75,0.77,5.63,1.06
2011,finals,Chicago Blackhawks,73.27,12.68,59.18,12.68,46.5,8.45,100,11.27,4.23,100,1.194,5.73,0.75
2011,finals,Vancouver Canucks,101.68,12.38,73.66,11.08,52.15,7.82,66.67,19.55,5.87,82.35,1.024,6.41,0.91
2011,finals,Los Angeles Kings,91.97,16.32,56.37,14.83,35.6,8.9,100,10.38,2.97,100,1.192,4.96,1.1
2011,finals,San Jose Sharks,129.1,10.13,96.7,7.09,65.81,5.57,100,27.34,1.52,100,1.099,9.4,0.58
2011,finals,Detroit Red Wings,94.74,13.53,73.08,9.92,46.02,3.61,100,18.05,1.8,100,1.133,5.98,0.29
2011,finals,Phoenix Coyotes,100.15,13.18,71.16,13.18,52.71,7.91,100,26.35,2.64,100,1.316,8.48,1.16
2011,finals,Nashville Predators,89.34,6.38,67.36,5.67,48.22,3.55,0,21.98,2.13,0,0.1,6.26,0.39
2011,finals,Anaheim Ducks,93.83,6.58,72.43,4.94,59.26,0,NA,27.98,0,100,1.222,8.02,0.06
2012,quarter-finals,Ottawa Senators,98.37,17.43,62.26,12.45,39.85,12.45,100,14.94,3.74,100,1.114,5.02,0.71
2012,quarter-finals,New York Rangers,86.59,14.78,70.75,13.73,50.69,5.28,100,26.4,2.11,100,1.104,6.92,0.71
2012,quarter-finals,Boston Bruins,106.69,8.65,66.32,5.77,36.04,2.88,100,12.98,1.44,100,1.069,5.06,0.15
