year,team,scf,sca,hdcf,hdca
2008,Anaheim Ducks,21.71,21.92,54.32,11.37
2008,Los Angeles Kings,24.22,29.05,44.14,12.64
2008,Montreal Canadiens,26.73,27.68,52.93,13.68
2008,Carolina Hurricanes,26.06,26.03,51.25,13.48
2008,Detroit Red Wings,25.22,18.92,59.86,12.67
2008,Ottawa Senators,25.96,26.88,52.33,13.82
2008,Toronto Maple Leafs,26.72,26.57,47.74,12.35
2008,Dallas Stars,22.14,21.86,51.84,15.03
2008,Colorado Avalanche,23.65,23.53,54.76,13.91
2008,Florida Panthers,23.25,25.56,49.64,11.66
2008,New York Rangers,27.01,23.53,54.72,10.35
2008,New Jersey Devils,23.22,20.86,50.74,10.8
2008,Tampa Bay Lightning,24.08,24.98,45.59,13
2008,Nashville Predators,24.15,23.36,49.7,12.96
2008,Chicago Blackhawks,21.22,22.14,50.32,13.63
2008,Minnesota Wild,19.92,21.89,46.44,13.86
2008,Philadelphia Flyers,22.13,24.38,46.63,13.11
2008,Calgary Flames,23.18,20.68,53.59,13.57
2008,San Jose Sharks,25.7,18.85,51,11.28
2008,Edmonton Oilers,23.43,24.77,45.94,13.22
2008,St Louis Blues,21.44,25.69,50.55,13.74
2008,Phoenix Coyotes,22.77,25.05,47.4,11.17
2008,Pittsburgh Penguins,24.29,24.51,54.07,12.99
2008,Columbus Blue Jackets,21.49,19.74,48.61,11.73
2008,New York Islanders,25.11,26.98,47.98,10.6
2008,Buffalo Sabres,23.81,22.8,54.55,14.1
2008,Washington Capitals,29.21,22.68,50.12,11.35
2008,Atlanta Thrashers,20.93,27.06,40.73,12.27
2008,Boston Bruins,22.9,22.97,48.31,10.81
2008,Vancouver Canucks,22.06,22.62,47.94,13.11
2009,New York Rangers,30.02,28.16,45.93,9.36
2009,Tampa Bay Lightning,24.54,26.46,49.35,12.17
2009,Pittsburgh Penguins,25.67,24.86,55.42,14.9
2009,Ottawa Senators,22.75,24.41,47.12,11.93
2009,Toronto Maple Leafs,25.81,26.51,47.01,13.82
2009,Detroit Red Wings,24.38,19.8,54.66,13.88
2009,Boston Bruins,24.21,23.87,59.25,14.6
2009,Colorado Avalanche,21.76,23.75,42.75,11.16
2009,Calgary Flames,26.38,21.14,52.54,13.8
2009,Vancouver Canucks,23.12,23.91,56.43,15.45
2009,Anaheim Ducks,23.92,21.46,54.77,13.97
2009,San Jose Sharks,26.1,20.3,51.96,10.44
2009,New York Islanders,24.27,29.71,40.21,10.29
2009,New Jersey Devils,24.74,20.83,55.68,12.21
2009,Chicago Blackhawks,23.54,20.26,51.01,11.75
2009,Florida Panthers,23.21,24.73,51.04,12.65
2009,Carolina Hurricanes,25.67,24.59,48.49,11.11
2009,Montreal Canadiens,25.52,27.02,46.82,11.74
2009,Buffalo Sabres,22.96,22.04,52.82,14.68
2009,Washington Capitals,29.12,24.75,55.04,11.68
2009,Atlanta Thrashers,23.13,27.95,45.88,13.16
2009,Nashville Predators,22.19,23.89,47.69,12.91
2009,St Louis Blues,21.78,23.61,49.8,13.73
2009,Columbus Blue Jackets,21.42,20.54,53.26,14.37
2009,Dallas Stars,20.37,22.5,49.91,16.5
2009,Philadelphia Flyers,23.44,24.74,49.23,14.25
2009,Minnesota Wild,18.47,21.55,45.45,12.56
2009,Phoenix Coyotes,21.7,25.57,44.71,12.52
2009,Los Angeles Kings,23.37,22.13,44.72,10.53
2009,Edmonton Oilers,22.44,24.93,49.5,14.12
2010,San Jose Sharks,27.31,24.8,54.42,13.12
2010,Vancouver Canucks,25.69,24.78,53.98,14.29
2010,Carolina Hurricanes,25.46,29.22,45.45,12.39
2010,Ottawa Senators,25.86,23.67,46.57,12.6
2010,Toronto Maple Leafs,27.94,26.03,48.22,11.76
2010,Tampa Bay Lightning,23.86,27.06,43.56,11.79
2010,Montreal Canadiens,22.81,24.87,48.1,12.18
2010,Minnesota Wild,21.8,23.36,48.45,13.94
2010,Columbus Blue Jackets,20.92,23.77,42.61,12.25
2010,Florida Panthers,23.54,28.88,48.44,12.6
2010,Detroit Red Wings,26.31,22.54,48.9,10.85
2010,Nashville Predators,22.89,23.16,50.46,13.48
2010,Los Angeles Kings,23.31,22.27,53.12,12.88
2010,New York Islanders,26.85,30.12,46.77,11.53
2010,Boston Bruins,23.36,21.42,48.8,11.34
2010,St Louis Blues,25.16,24.87,50.56,12.18
2010,Dallas Stars,23.18,24.33,49.2,13.37
2010,Edmonton Oilers,22.04,28.55,41.68,12.86
2010,Phoenix Coyotes,25.75,23.1,52.52,11.63
2010,Buffalo Sabres,25.94,24.4,51.66,11.82
2010,Colorado Avalanche,22.92,25.77,51.1,14.45
2010,New York Rangers,30.73,29.55,52.69,11.27
2010,Chicago Blackhawks,28.24,21.59,55.12,13.37
2010,Calgary Flames,22.18,20.76,50.25,12.9
2010,Atlanta Thrashers,24.19,27.63,48.72,14.06
2010,Anaheim Ducks,24.06,26.2,53.1,13.24
2010,New Jersey Devils,23.32,21.8,51.71,10.92
2010,Philadelphia Flyers,27.16,24.81,49.04,11.75
2010,Washington Capitals,30.7,27.24,61.67,15.19
2010,Pittsburgh Penguins,27.95,25.06,52.08,13.23
2011,Calgary Flames,23.91,21.26,53.08,13.53
2011,Anaheim Ducks,23.12,28.28,47.72,12.29
2011,Ottawa Senators,24.2,24.77,42.53,12.14
2011,New Jersey Devils,21.2,20.13,44.2,10.89
2011,Atlanta Thrashers,24.04,27.41,44.68,11.08
2011,Detroit Red Wings,27.14,24.2,48.44,12.48
2011,Vancouver Canucks,26.93,25.44,54.94,12.9
2011,Colorado Avalanche,24.88,26.54,44.82,11.72
2011,Tampa Bay Lightning,29.61,22.67,53.46,12.25
2011,Carolina Hurricanes,27.24,29.86,48.92,13.88
2011,Dallas Stars,22.54,23.84,48.98,13.16
2011,Washington Capitals,26.57,25.47,52.6,11.7
2011,Los Angeles Kings,23.81,22.47,54.07,13.79
2011,Minnesota Wild,20.08,24.81,45.93,13.02
2011,Toronto Maple Leafs,24.84,27.82,47.06,12.24
2011,San Jose Sharks,28.11,22.16,54.6,10.57
2011,Buffalo Sabres,25.87,25.41,53.34,12.28
2011,Phoenix Coyotes,26.97,26.3,53.36,12.12
2011,Edmonton Oilers,22.58,28.57,41.22,12.19
2011,Florida Panthers,25.64,24.34,46.42,10.68
2011,New York Islanders,25.93,30.9,44.34,11.99
2011,Nashville Predators,23.11,24.02,54.28,13.61
2011,Columbus Blue Jackets,24.13,24.97,45.67,11.72
2011,Montreal Canadiens,26.68,25.98,48.55,11.14
2011,Pittsburgh Penguins,25.62,23.08,52.17,12.45
2011,New York Rangers,30.92,27.62,53.32,10.8
2011,Boston Bruins,27.17,26.83,58.51,13.36
2011,St Louis Blues,25.36,25.95,49.34,12.9
2011,Chicago Blackhawks,26.7,24.04,54.82,12.82
2011,Philadelphia Flyers,26.1,26.1,59.62,15.78
2012,Philadelphia Flyers,27.13,25.1,52.38,14.04
2012,Boston Bruins,26.42,22.44,57.26,15.58
2012,Montreal Canadiens,23,25.62,47.45,13.49
2012,Toronto Maple Leafs,25.99,27.03,45.59,13.28
2012,Pittsburgh Penguins,29.08,23.25,53.02,13.75
2012,Vancouver Canucks,25.4,24.66,52.48,12.87
2012,Tampa Bay Lightning,23.63,27.79,48.24,15.38
2012,Carolina Hurricanes,25.77,27.74,45.42,11.29
2012,Ottawa Senators,26.47,25.9,50.75,14.1
2012,Detroit Red Wings,26.61,22.48,57.79,13.77
2012,Nashville Predators,22.95,24.46,49.19,13.01
2012,Columbus Blue Jackets,21.61,24.16,43.83,11.65
2012,Anaheim Ducks,24.96,25.76,47.34,12.24
2012,Buffalo Sabres,23.27,24.54,52.43,14.06
2012,Chicago Blackhawks,27.82,24.69,49.56,12.59
2012,Dallas Stars,22.08,23.74,51.03,14.39
2012,New York Rangers,27.1,26.56,53.69,11.64
2012,Los Angeles Kings,25.56,21.74,47.45,9.5
2012,New Jersey Devils,22.37,20.68,48.67,12.65
2012,Washington Capitals,23.03,25.43,50.18,13.89
2012,Florida Panthers,21.82,23.23,48.57,11.36
2012,New York Islanders,25.39,27.76,46.01,11.44
2012,St Louis Blues,25.49,22.84,58.01,11.32
2012,Minnesota Wild,21.13,24.58,39.87,9.53
2012,Colorado Avalanche,24.31,24.18,47.05,11.25
2012,Calgary Flames,22.92,23.7,48.19,11.14
2012,Phoenix Coyotes,25.38,25.84,52.85,13.63
2012,San Jose Sharks,25.49,22.52,54.19,11.63
2012,Winnipeg Jets,25.31,25.33,50.04,12.8
2012,Edmonton Oilers,23.21,26.74,50.17,13.23
2013,Pittsburgh Penguins,26.88,23.65,58.11,14.65
2013,Philadelphia Flyers,22.98,25.85,45.94,13.59
2013,Ottawa Senators,26.5,23.33,49.09,9.87
2013,Winnipeg Jets,25.21,26.69,46.46,13.12
2013,Chicago Blackhawks,27.07,21.63,61.49,13.65
2013,Los Angeles Kings,25.38,20.58,51.2,12.27
2013,New York Rangers,27.41,24.74,58.59,12.01
2013,Boston Bruins,27.79,22.81,56.18,12.83
2013,Toronto Maple Leafs,23.23,27.15,52.43,16.92
2013,Montreal Canadiens,25.56,22.4,57.17,15.42
2013,New Jersey Devils,23.81,19.27,44.6,10.32
2013,New York Islanders,29.05,27.2,50.01,11.37
2013,Washington Capitals,24.34,24.31,49.29,12.03
2013,Tampa Bay Lightning,23.38,26.09,51.21,15.62
2013,Carolina Hurricanes,28.54,29.51,45.45,11.65
2013,Florida Panthers,21.72,26.35,36.39,9.83
2013,Detroit Red Wings,25.4,22.6,51.21,10.68
2013,St Louis Blues,22.51,21.46,49.58,11.77
2013,Columbus Blue Jackets,20.27,22.93,52.14,14.2
2013,Nashville Predators,20.53,23.26,46.93,12.64
2013,Phoenix Coyotes,24.76,25.22,49.75,11.73
2013,Dallas Stars,24.19,25.76,50.08,14.74
2013,Colorado Avalanche,23.4,26.83,45.79,12.42
2013,Minnesota Wild,22.95,20.9,47.28,11.98
2013,Anaheim Ducks,25.33,25.69,56.62,12.73
2013,Vancouver Canucks,24.44,24.62,49.44,12.29
2013,Buffalo Sabres,20.83,27.96,48.76,13.89
2013,San Jose Sharks,26.21,22.81,50.72,10.69
2013,Calgary Flames,23.56,25.28,41.67,12.81
2013,Edmonton Oilers,24.63,31.23,47.87,11.55
2014,Toronto Maple Leafs,22.27,29.66,45.93,13.39
2014,Montreal Canadiens,23.6,26.77,48.91,13.38
2014,Washington Capitals,23.66,26.44,45.71,11.74
2014,Chicago Blackhawks,27.32,21.07,56.07,13.27
2014,Winnipeg Jets,24.79,24.43,49.03,12.81
2014,Edmonton Oilers,23.52,28.97,44.32,12.41
2014,Philadelphia Flyers,22.95,24.45,49.9,14.18
2014,Buffalo Sabres,19.54,28.77,38.2,10.9
2014,Detroit Red Wings,23.16,21.35,51.27,14.03
2014,Anaheim Ducks,27.01,25.92,57.12,15.35
2014,Colorado Avalanche,23.6,26.32,51.35,13.47
2014,Tampa Bay Lightning,26.2,24.57,53.08,12.38
2014,Boston Bruins,26.33,21.62,60.6,13.92
2014,New Jersey Devils,24.32,19.17,51.75,10.93
2014,Pittsburgh Penguins,22.91,22.25,52.3,14.61
2014,Calgary Flames,21.29,25.99,43.88,13.11
2014,Nashville Predators,22.4,22.13,47.46,13.81
2014,St Louis Blues,25.16,22,55.62,14.01
2014,Los Angeles Kings,25.88,20.78,57.37,11.31
2014,Minnesota Wild,20.87,20.38,53.58,13.79
2014,Florida Panthers,24.06,25.27,43.6,12
2014,Dallas Stars,27.77,26.39,53.02,13
2014,New York Rangers,27.58,24.99,51.56,10.87
2014,Phoenix Coyotes,22.93,25.12,49.85,11.94
2014,Vancouver Canucks,25.04,26.05,47.05,12.12
2014,San Jose Sharks,29.54,21.19,53.19,11.57
2014,Ottawa Senators,24.97,25.49,47.6,13.05
2014,New York Islanders,27.35,29.28,43.87,10.81
2014,Carolina Hurricanes,25.56,27.15,44.98,10.91
2014,Columbus Blue Jackets,23.6,21.47,53.93,13.72
2015,Montreal Canadiens,23.08,25.29,52.4,12.78
2015,Toronto Maple Leafs,22.95,28.93,44.18,11.83
2015,Philadelphia Flyers,22.31,22.92,49.11,13.08
2015,Boston Bruins,23.1,22.06,48.08,11.53
2015,Vancouver Canucks,24.8,26.81,47.78,13.24
2015,Calgary Flames,22.36,27.21,50.77,14.13
2015,San Jose Sharks,25.46,24.59,44.67,11.1
2015,Los Angeles Kings,24.76,21.99,52.05,12.11
2015,Columbus Blue Jackets,23.66,25.45,45.05,12.36
2015,Buffalo Sabres,17.66,30.57,39.07,12.22
2015,New Jersey Devils,21.28,22.94,47.29,10.39
2015,Anaheim Ducks,25.93,23.72,51.33,14.03
2015,Pittsburgh Penguins,24.71,22.28,52.12,12.73
2015,Washington Capitals,25.43,23.01,52.21,12.61
2015,Detroit Red Wings,23.79,20.16,52.59,12.42
2015,Florida Panthers,22.99,21.98,51.99,12.29
2015,Tampa Bay Lightning,27.56,22.61,57.57,13.85
2015,New York Rangers,26.07,24.86,57.29,14.33
2015,St Louis Blues,26.07,23.24,55.49,12.76
2015,Ottawa Senators,25.36,23.27,55.5,14.09
2015,Nashville Predators,25.39,21.04,56.66,13.3
2015,Chicago Blackhawks,27.49,24.15,53.71,11.65
2015,Dallas Stars,29.73,25.66,50.72,13.69
2015,Colorado Avalanche,21.02,27.36,49.72,14.29
2015,Minnesota Wild,24.15,21.42,53.8,14.46
2015,Edmonton Oilers,22.02,27.32,42.66,12.56
2015,Winnipeg Jets,25.98,23.25,52.74,12.59
2015,Arizona Coyotes,22.61,27.06,37.23,10.39
2015,New York Islanders,31.72,27.64,52.56,11.3
2015,Carolina Hurricanes,24.86,24.95,42.46,10.62
2016,Montreal Canadiens,24.02,24.29,48.99,13.69
2016,Toronto Maple Leafs,25.39,24.35,44.35,10.7
2016,New York Rangers,24.18,26.83,54.22,14.25
2016,Chicago Blackhawks,24.05,23.93,49,11.08
2016,Vancouver Canucks,23.27,29.12,42.82,10.46
2016,Calgary Flames,24.75,25.42,47.6,13.09
2016,San Jose Sharks,26.09,21.5,51.89,12.08
2016,Los Angeles Kings,27.61,22.06,55.03,11.12
2016,Winnipeg Jets,25.14,24.15,48.18,11.96
2016,Boston Bruins,23.62,24.46,51.66,13.35
2016,Ottawa Senators,23.05,27.18,47.58,13.17
2016,Buffalo Sabres,21.43,22.94,44.84,11.93
2016,Philadelphia Flyers,22.97,24.58,49.73,12.82
2016,Tampa Bay Lightning,25.08,22.4,55.21,12.58
2016,Edmonton Oilers,24.08,26.32,46.05,11.94
2016,St Louis Blues,26.71,24.27,51.92,10.25
2016,Carolina Hurricanes,24,24.6,44.31,11.25
2016,Nashville Predators,23.94,20.36,50.5,11.88
2016,Pittsburgh Penguins,27.72,22.55,56.75,11.98
2016,Dallas Stars,29.42,25.9,52.47,12.27
2016,Minnesota Wild,21.53,22.67,53.88,13.62
2016,Colorado Avalanche,20.43,27.35,48.23,13.44
2016,New Jersey Devils,19.44,21.34,48.35,12.16
2016,Columbus Blue Jackets,24.84,24.95,48.93,12.5
2016,Detroit Red Wings,24.54,23.31,47.23,10.71
2016,New York Islanders,25.88,27.6,49.63,11.47
2016,Arizona Coyotes,22,26.15,48.77,12.3
2016,Florida Panthers,22.54,21.84,55.99,14.4
2016,Washington Capitals,26.41,24.65,55.77,13.26
2016,Anaheim Ducks,26.12,23.09,49.96,10.98
2017,Toronto Maple Leafs,28.22,25.36,51.86,12.33
2017,Ottawa Senators,23.82,25.73,47.63,11.36
2017,St Louis Blues,24.46,23.13,51.7,12.97
2017,Chicago Blackhawks,25.2,25.37,55.88,13.34
2017,Calgary Flames,23.3,23.38,48.4,12.72
2017,Edmonton Oilers,26.1,25.92,53.72,12.65
2017,Los Angeles Kings,26.34,23.43,46.29,10.28
2017,San Jose Sharks,26.86,24.74,52.23,12.29
2017,Montreal Canadiens,25.31,22.79,56.74,12.94
2017,Buffalo Sabres,22.25,24.34,45.65,11.39
2017,New York Islanders,25.34,29.26,51.59,13.47
2017,New York Rangers,24.59,25.87,52.64,14.87
2017,Washington Capitals,25.42,23.02,58.01,14.06
2017,Pittsburgh Penguins,28.9,25.81,54.94,13.13
2017,Boston Bruins,26.64,20.95,47.05,10.55
2017,Columbus Blue Jackets,26.02,24.77,57.51,12.56
2017,Detroit Red Wings,22.34,24.15,49.19,13.13
2017,Tampa Bay Lightning,25.11,24.07,53.07,12.72
2017,New Jersey Devils,21.09,23.27,42.55,10.62
2017,Florida Panthers,22.56,23.79,46.38,11.68
2017,Minnesota Wild,24.53,21.11,56.29,14.58
2017,Carolina Hurricanes,24.27,23.42,46.38,12.2
2017,Winnipeg Jets,24.37,24.15,48.85,13.49
2017,Anaheim Ducks,26.56,25.3,53.42,11.98
2017,Dallas Stars,26.28,27.38,49.46,12.93
2017,Nashville Predators,24.25,23,51.23,12.67
2017,Philadelphia Flyers,23.08,23.53,44.1,11.44
2017,Colorado Avalanche,20.9,23.87,34.22,10.53
2017,Arizona Coyotes,21.22,29.44,44.82,13.01
2017,Vancouver Canucks,22.44,27.25,45.24,11.94
2018,Toronto Maple Leafs,30.04,27.06,56.1,13.5
2018,Winnipeg Jets,26.18,23,54.47,13.28
2018,St Louis Blues,26.56,25.29,52.88,12.18
2018,Pittsburgh Penguins,28.54,26.51,44.71,10.86
2018,Calgary Flames,28.52,24.79,52.1,11.93
2018,Edmonton Oilers,28.05,28.82,47.35,11.88
2018,Philadelphia Flyers,23.72,25.05,51.58,13.36
2018,San Jose Sharks,27.47,26.49,46.83,11.88
2018,Nashville Predators,25.92,25.16,58.84,14.05
2018,Boston Bruins,28.01,22.97,55.48,12.6
2018,Montreal Canadiens,26.09,25.68,45.72,10.87
2018,Buffalo Sabres,20.48,24.25,39,11.26
2018,Colorado Avalanche,24.7,26.26,52.03,12.73
2018,New York Rangers,26.03,30.2,45.34,12.76
2018,Washington Capitals,26.77,28.33,51.35,14.29
2018,Ottawa Senators,23.56,28.3,42.98,13.64
2018,Minnesota Wild,24.08,22.84,54.53,12.66
2018,Detroit Red Wings,23.91,26.57,47.36,13.31
2018,Chicago Blackhawks,30.01,27.86,46.78,11.48
2018,Arizona Coyotes,24.87,27.02,45.39,11.08
2018,Anaheim Ducks,26.85,28.1,52.66,13.09
2018,Los Angeles Kings,25.01,25.92,53.9,13.4
2018,New York Islanders,26.14,31.08,48.28,13.78
2018,Columbus Blue Jackets,27.89,26.47,54.06,12.26
2018,Florida Panthers,25.55,25.97,47.83,11.69
2018,Tampa Bay Lightning,29.01,25.22,58.01,14.68
2018,Vegas Golden Knights,27.77,25.33,52.35,12.61
2018,Dallas Stars,26.46,24.95,53.04,12.35
2018,New Jersey Devils,25.08,26.2,48.18,12.38
2018,Carolina Hurricanes,28.03,24.24,46.81,12.19
2018,Vancouver Canucks,24.14,29.34,46.71,12.07
2019,Montreal Canadiens,29.1,25.02,51.77,13.49
2019,Toronto Maple Leafs,32.25,28.27,53.06,13.62
2019,Boston Bruins,25.36,22.62,57.25,12.6
2019,Washington Capitals,27.51,28.4,52.78,15.7
2019,Calgary Flames,28.36,24.42,57.15,14.17
2019,Vancouver Canucks,23.7,29.46,43.77,13.01
2019,Anaheim Ducks,24.48,29.49,44.32,11.66
2019,San Jose Sharks,28.81,23.79,50.95,13.93
2019,Buffalo Sabres,24.53,25.61,44.6,12.79
2019,Nashville Predators,26.87,25.58,54.78,13.36
2019,New York Rangers,24.43,29.33,44.83,12.44
2019,Pittsburgh Penguins,28.1,25.22,55.08,12.93
2019,New York Islanders,26.57,26.88,59.44,14.07
2019,Carolina Hurricanes,29.64,24.86,51.2,11.68
2019,Chicago Blackhawks,26.84,30.12,49.34,14.18
2019,Ottawa Senators,24.35,29.34,44.58,15.09
2019,Columbus Blue Jackets,26.47,24.77,51.91,13.37
2019,Detroit Red Wings,23.56,28.07,47.76,13.23
2019,Winnipeg Jets,24.58,25.86,51.88,14.49
2019,St Louis Blues,27.88,25.25,51.78,12.35
2019,Arizona Coyotes,24.86,26.23,45.9,11.53
2019,Dallas Stars,25.68,25.41,50.45,10.4
2019,Minnesota Wild,25.12,22.58,48.31,11.44
2019,Colorado Avalanche,26.87,25.51,49.95,11.89
2019,Philadelphia Flyers,24.23,26.6,47.79,15.03
2019,Vegas Golden Knights,30.04,24.53,51.2,11.4
2019,Los Angeles Kings,23.31,26.92,44.63,13.16
2019,Florida Panthers,23.97,25.06,46.66,14.62
2019,Tampa Bay Lightning,29.43,26.36,55.77,15.17
2019,Edmonton Oilers,24.33,27.07,46.8,13.11
2019,New Jersey Devils,23.28,25.8,44.13,11.79
